,title,ID,url,channel,datetime,length,viewCount,likeCount,dislikeCount,commentCount,oneDayEnd
63,Easter Baking - PASTEL LEMON MERINGUES,53Rek9a9DgU,www.youtube.com/watch?v=53Rek9a9DgU,AmazingPhil,2017-04-13 11:53:27,935,1135707,155496,1015,29553.0,1
64,Google just killed Burger King's newest TV ad that had a disastrous flaw,t7Krn-DH3tw,www.youtube.com/watch?v=t7Krn-DH3tw,Business Insider,2017-04-13 08:31:07,91,1406342,18386,1362,2799.0,1
65,"Chris ""Ludacris"" Bridges On His CGI Abs  - CONAN on TBS",0iLNva_qPvY,www.youtube.com/watch?v=0iLNva_qPvY,Team Coco,2017-04-12 22:11:38,161,279861,3883,204,437.0,1
66,Kunal Nayyar Meets the Queen,5-Bo4Ddkj5o,www.youtube.com/watch?v=5-Bo4Ddkj5o,TheEllenShow,2017-04-13 12:01:00,285,472603,8878,190,1062.0,1
67,Dear White People | Official Trailer [HD] | Netflix,oYKgHvPVACE,www.youtube.com/watch?v=oYKgHvPVACE,Netflix US & Canada,2017-04-13 11:59:50,139,424027,7967,14945,5837.0,1
68,WHY I TATTOOED MY ENTIRE BODY.,hb-Ljy_dJbU,www.youtube.com/watch?v=hb-Ljy_dJbU,Liza Koshy,2017-04-13 17:24:14,291,3522345,413282,4723,25332.0,1
69,KUWTK | Kim Kardashian West Learns About Kanye's Downward Spiral | E!,W6dgqgoSDFY,www.youtube.com/watch?v=W6dgqgoSDFY,E! Entertainment,2017-04-13 14:00:02,75,365889,1938,7137,2198.0,1
70,Jay Pharoah Reveals Why He Was Fired From SNL & Remembers Charlie Murphy,4Zj0UuBy4RI,www.youtube.com/watch?v=4Zj0UuBy4RI,HOT 97,2017-04-13 17:19:58,2291,232316,2184,234,1002.0,1
71,Star Wars: The Last Jedi Official Teaser,zB4I68XVPzQ,www.youtube.com/watch?v=zB4I68XVPzQ,Star Wars,2017-04-14 11:56:13,133,17182875,382206,13091,58977.0,1
72,Chris Brown - Privacy (Explicit Version),Fq0xEpRDL9Q,www.youtube.com/watch?v=Fq0xEpRDL9Q,ChrisBrownVEVO,2017-04-14 10:00:01,221,2197062,120810,5020,12738.0,1
73,Drone footage shows MOAB drop in Afghanistan,MZ8j4QlYcYk,www.youtube.com/watch?v=MZ8j4QlYcYk,USA TODAY,2017-04-14 08:00:19,36,1114638,6843,1062,5238.0,1
74,Loud YouTubers,r5bu3RFna2Y,www.youtube.com/watch?v=r5bu3RFna2Y,jacksfilms,2017-04-13 18:55:18,67,689818,84860,442,9887.0,1
75,Sourcefed. Where are they now?,bEBGXyGrOkc,www.youtube.com/watch?v=bEBGXyGrOkc,StevenSuptic,2017-04-14 11:00:04,547,213672,13785,340,1513.0,1
76,"FAN REACTION: ""The Last Jedi"" trailer debuts at Star Wars Celebration 2017 in Orlando",LRZ4A2tXyj8,www.youtube.com/watch?v=LRZ4A2tXyj8,Inside the Magic,2017-04-14 12:34:44,293,393533,6932,304,1297.0,1
77,Chris Stapleton - Broken Halos (Audio),sI0TeFf6uD8,www.youtube.com/watch?v=sI0TeFf6uD8,ChrisStapletonVEVO,2017-04-14 00:00:03,181,119054,4261,64,240.0,1
78,Michael Ray - Think A Little Less (Home Free Cover) [OFFICIAL VIDEO],-uai6ZvEw6c,www.youtube.com/watch?v=-uai6ZvEw6c,Home Free,2017-04-14 10:35:44,231,120352,4322,56,615.0,1
79,Movie Bloopers That Were Too Good To Delete,x0_035ywKsA,www.youtube.com/watch?v=x0_035ywKsA,Looper,2017-04-14 12:00:06,254,278764,4007,202,284.0,1
80,Animal Adventure Park Giraffe Cam,dz_errIBq3Y,www.youtube.com/watch?v=dz_errIBq3Y,Animal Adventure Park,2017-04-14 17:09:09,65141,11694680,68688,3292,972.0,1
81,Why DEADPOOL may be the BEST MOVIE EVER! | Film Legends,H7pH6jhJnoo,www.youtube.com/watch?v=H7pH6jhJnoo,The Film Theorists,2017-04-15 12:41:21,672,760778,23860,2952,4872.0,1
82,The Truth About The Ball Brothers' Unknown Sibling,XmOy3sNKkdA,www.youtube.com/watch?v=XmOy3sNKkdA,ESPN,2017-04-14 14:30:14,276,1207782,49534,830,5366.0,1
83,DIY MERMAID TOAST - Man Vs Instagram #1,9CwaPeLElKg,www.youtube.com/watch?v=9CwaPeLElKg,ThreadBanger,2017-04-14 21:06:07,522,1221920,60827,1045,9330.0,1
84,The WORST Things About Having A Crush!,b05tSttVFUw,www.youtube.com/watch?v=b05tSttVFUw,Rclbeauty101,2017-04-14 19:26:31,328,2897466,175862,3107,24473.0,1
85,Star Wars Battlefront II: Full Length Reveal Trailer,Kae-JjbLsgA,www.youtube.com/watch?v=Kae-JjbLsgA,EA Star Wars,2017-04-15 14:39:59,139,4552696,161677,6242,43058.0,1
86,My Eyeshadow Palette Collection 2017,YdXHgdgtBas,www.youtube.com/watch?v=YdXHgdgtBas,Laura Lee,2017-04-15 12:54:36,913,228669,14423,239,2056.0,1
87,Sabina Mazo's Head Kick KO From LFA 9,19MsGy4pGCg,www.youtube.com/watch?v=19MsGy4pGCg,AXS TV Fights,2017-04-15 01:48:57,12,281471,1003,151,632.0,1
88,Disney Parks Imagineers and Lucasfilm Collaborate on Star Wars-Themed Lands | Disney Parks,nwKRHbLbjNQ,www.youtube.com/watch?v=nwKRHbLbjNQ,Disney Parks,2017-04-15 17:54:25,197,341947,5135,182,575.0,1
89,Donald Trump Cold Open - SNL,CgNgkwTusM4,www.youtube.com/watch?v=CgNgkwTusM4,Saturday Night Live,2017-04-16 00:22:57,357,3864717,30921,2714,3537.0,1
90,Easter Message from Sean Spicer - SNL,_RvfzFv3c6Y,www.youtube.com/watch?v=_RvfzFv3c6Y,Saturday Night Live,2017-04-16 00:52:26,262,5423150,53919,4957,4862.0,1
91,Pro- and anti-Trump protesters clash in Berkeley,6E2mOqQoFeQ,www.youtube.com/watch?v=6E2mOqQoFeQ,CBS News,2017-04-15 17:05:58,173,204942,1289,1068,4434.0,1
92,"Luis Fonsi, Daddy Yankee - Despacito (Audio) ft. Justin Bieber",72UO0v5ESUo,www.youtube.com/watch?v=72UO0v5ESUo,LuisFonsiVEVO,2017-04-17 00:00:01,229,19143925,1219970,126926,181361.0,1
93,French Elections: Last Week Tonight with John Oliver (HBO),hkZir1L7fSY,www.youtube.com/watch?v=hkZir1L7fSY,LastWeekTonight,2017-04-17 02:30:00,1089,3550154,103692,10082,20583.0,1
94,"Kate Upton Performs ""...Baby One More Time"" | Lip Sync Battle Preview",ibPYtFQaGLI,www.youtube.com/watch?v=ibPYtFQaGLI,Lip Sync Battle on Spike,2017-04-17 06:00:04,34,1897941,7833,3018,2589.0,1
95,Ohio man broadcasts killing on Facebook live,CfSG1WhVMp0,www.youtube.com/watch?v=CfSG1WhVMp0,ABC Action News,2017-04-16 23:21:56,196,1018264,3261,1081,7874.0,1
96,Simone Biles Gets a Scare!,ignm63b0cao,www.youtube.com/watch?v=ignm63b0cao,TheEllenShow,2017-04-17 09:01:00,254,719438,15573,353,1557.0,1
97,"Werenski gets puck to face, Rust scores second of the night",-TO17PIAfN4,www.youtube.com/watch?v=-TO17PIAfN4,SPORTSNETCANADA,2017-04-16 20:10:12,81,276027,411,62,417.0,1
98,"Hans Zimmer - Inception - Live at Coachella 2017 Sunday, April 16th",sv4LfRJXf5w,www.youtube.com/watch?v=sv4LfRJXf5w,Coachella,2017-04-17 01:54:03,555,663295,8661,295,1040.0,1
99,Bulls Steal Game 1! Sad News for Isaiah Thomas - Bulls vs Celtics,io48Hk6kV-Y,www.youtube.com/watch?v=io48Hk6kV-Y,Chris Smoove,2017-04-17 05:29:14,203,558994,13938,169,1867.0,1
100,Rihanna getting hype during Kendrick Lamar's performance at Coachella,W1UJx-PXaro,www.youtube.com/watch?v=W1UJx-PXaro,M.C.rush,2017-04-17 10:29:24,14,237830,1949,590,989.0,1
101,Street Crossing at the Boston Marathon,Qo-Kv6VUlYo,www.youtube.com/watch?v=Qo-Kv6VUlYo,B O,2017-04-17 14:57:10,89,1080117,7185,362,1052.0,1
102,What Sean Spicer thinks of his 'SNL' impression,u6Oi-8jT6Us,www.youtube.com/watch?v=u6Oi-8jT6Us,CNN,2017-04-17 17:17:59,51,238183,1548,607,1374.0,1
103,My Teachers,6fFJLaSo-_Q,www.youtube.com/watch?v=6fFJLaSo-_Q,TheOdd1sOut,2017-04-17 15:32:03,441,3009079,143953,1420,36675.0,1
104,Giant Sumo Battle | Dude Perfect,th2T6rygqNU,www.youtube.com/watch?v=th2T6rygqNU,Dude Perfect,2017-04-17 18:16:43,417,6849720,509671,5291,70503.0,1
105,Discontinued Snack Taste Test,zG6RCgtlb4M,www.youtube.com/watch?v=zG6RCgtlb4M,Good Mythical Morning,2017-04-18 06:00:05,812,1762196,46693,1450,13138.0,1
106,Bartenders Guess Who Is Underage,re5TqWQgWd4,www.youtube.com/watch?v=re5TqWQgWd4,WatchCut Video,2017-04-18 10:00:07,334,2593796,44639,1267,7486.0,1
107,Exercise,O6sS0qljJFI,www.youtube.com/watch?v=O6sS0qljJFI,Domics,2017-04-18 01:16:04,466,1568015,130968,709,20942.0,1
108,InfoWar's Alex Jones Has Nothing On Tuck Buckford,8qBNml_sSVo,www.youtube.com/watch?v=8qBNml_sSVo,The Late Show with Stephen Colbert,2017-04-18 03:35:00,311,1234148,16301,3499,4416.0,1
109,"AMERICAN ASSASSIN - Teaser Trailer - HD (Dylan O’Brien, Michael Keaton, Sanaa Lathan, Taylor Kitsch)",XwHAGKxsbcg,www.youtube.com/watch?v=XwHAGKxsbcg,CBS Films,2017-04-18 10:50:57,148,1754213,9532,308,1385.0,1
110,"The Little Hours | OFFICIAL RED BAND TRAILER | Alison Brie, Dave Franco, Aubrey Plaza",FYycHr4RsJw,www.youtube.com/watch?v=FYycHr4RsJw,Gunpowder & Sky,2017-04-18 11:30:00,124,240815,2330,477,379.0,1
111,This is the new Google Earth,O-XidwKsKAE,www.youtube.com/watch?v=O-XidwKsKAE,Google,2017-04-18 10:34:50,56,2508403,55171,1700,10140.0,1
